Hospital Name,Overall rating
ABBEVILLE AREA MEDICAL CENTER,4.0
ABBEVILLE GENERAL HOSPITAL,3.0
ABBOTT NORTHWESTERN HOSPITAL,4.0
ABILENE REGIONAL MEDICAL CENTER,3.0
ABINGTON MEMORIAL HOSPITAL,2.0
ABRAHAM LINCOLN MEMORIAL HOSPITAL,4.0
ABRAZO ARROWHEAD CAMPUS,3.0
ABRAZO CENTRAL CAMPUS,2.0
ABRAZO MARYVALE CAMPUS,2.0
ABRAZO SCOTTSDALE CAMPUS,2.0
ABRAZO WEST CAMPUS,2.0
ABROM KAPLAN MEMORIAL HOSPITAL,
ACADIA GENERAL HOSPITAL,2.0
ACADIA ST LANDRY,
ACMH HOSPITAL,4.0
"AD HOSPITAL EAST, LLC",
ADAIR COUNTY MEMORIAL HOSPITAL,
ADAMS COUNTY REGIONAL MEDICAL CENTER,3.0
ADAMS MEMORIAL HOSPITAL,3.0
ADCARE HOSPITAL OF WORCESTER INC,
ADENA PIKE MEDICAL CENTER,
ADENA REGIONAL MEDICAL CENTER,3.0
ADIRONDACK MEDICAL CENTER,4.0
ADMIN DE SERVICIOS MEDICOS  PUERTO RIC,
ADVANCED SURGICAL HOSPITAL,
ADVENTIST BOLINGBROOK HOSPITAL,2.0
ADVENTIST GLENOAKS,3.0
ADVENTIST HEALTH MEDICAL CENTER TEHACHAPI VALLEY,
ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,
ADVENTIST HEALTHCARE WASHINGTON ADVENTIST HOSPITAL,
ADVENTIST HINSDALE HOSPITAL,4.0
ADVENTIST LA GRANGE MEMORIAL HOSPITAL,5.0
ADVENTIST MEDICAL CENTER,2.5
ADVENTIST MEDICAL CENTER - REEDLEY,2.0
ADVOCATE BROMENN MEDICAL CENTER,3.0
ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,3.0
ADVOCATE CONDELL MEDICAL CENTER,5.0
ADVOCATE EUREKA  HOSPITAL,4.0
ADVOCATE GOOD SAMARITAN HOSPITAL,4.0
ADVOCATE GOOD SHEPHERD HOSPITAL,5.0
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,2.0
ADVOCATE LUTHERAN GENERAL HOSPITAL,3.0
ADVOCATE SOUTH SUBURBAN HOSPITAL,4.0
ADVOCATE TRINITY HOSPITAL,3.0
AFFINITY MEDICAL CENTER,3.0
AHMC ANAHEIM REGIONAL MEDICAL CENTER,3.0
AIKEN REGIONAL MEDICAL CENTER,2.0
AKRON CHILDREN'S HOSPITAL,
AKRON GENERAL MEDICAL CENTER,3.0
ALAMANCE REGIONAL MEDICAL CENTER,3.0
ALAMEDA HOSPITAL,2.0
ALASKA NATIVE MEDICAL CENTER,2.0
ALASKA REGIONAL HOSPITAL,3.0
ALBANY MEDICAL CENTER HOSPITAL,2.0
ALBANY MEMORIAL HOSPITAL,2.0
ALBERT EINSTEIN MEDICAL CENTER,2.0
ALEXIAN BROTHERS MEDICAL CENTER 1,4.0
ALFRED I DUPONT HOSPITAL FOR CHILDREN,
ALHAMBRA HOSPITAL MEDICAL CENTER,4.0
ALICE HYDE MEDICAL CENTER,3.0
ALICE PECK DAY MEMORIAL HOSPITAL,3.0
"ALL CHILDREN'S HOSPITAL, INC",
ALLEGAN GENERAL HOSPITAL,4.0
ALLEGHANY COUNTY MEMORIAL HOSPITAL,3.0
ALLEGHENY GENERAL HOSPITAL,1.0
ALLEGHENY VALLEY HOSPITAL,3.0
ALLEGIANCE SPECIALTY HOSPITAL OF KILGORE,
ALLEN COUNTY REGIONAL HOSPITAL,2.0
ALLEN HOSPITAL,2.0
ALLEN PARISH HOSPITAL,
ALLENDALE COUNTY HOSPITAL,
ALLIANCE COMMUNITY HOSPITAL,4.0
ALLIANCE HEALTH CENTER,
ALLIANCE HEALTHCARE SYSTEM,3.0
ALLIANCEHEALTH CLINTON,3.0
ALLIANCEHEALTH DEACONESS,3.0
ALLIANCEHEALTH DURANT,3.0
ALLIANCEHEALTH MADILL,3.0
ALLIANCEHEALTH MIDWEST,2.0
